     
     
     
     
     
     
     
     
     
     
     
     
     
     
millis, state, light, lat, lon, ax, ay, az, deg, micf_freq, micf_vol, micr_freq, micr_vol, micl_freq, micl_vol, micb_freq, micb_vol, direct, distance soundvol guidanceTime
     
     
     
     
     
     
     
     
     
     
     
     
     
     
millis, state, light, lat, lon, ax, ay, az, deg, micf_freq, micf_vol, micr_freq, micr_vol, micl_freq, micl_vol, micb_freq, micb_vol, direct, distance soundvol guidanceTime
     
     
     
     
     
     
     
     
     
     
     
     
     
     
millis, state, light, lat, lon, ax, ay, az, deg, micf_freq, micf_vol, micr_freq, micr_vol, micl_freq, micl_vol, micb_freq, micb_vol, direct, distance soundvol guidanceTime
42319, 4, 900, 0.00, 0.00, 1.14, 1.14, 11.12, 91.66, 33, 1, 47, 2, 32, 1, 47, 2, 0,0.00,0,42318
42741, 4, 962, 0.00, 0.00, 1.13, 1.13, 11.13, 91.30, 34, 1, 34, 2, 47, 2, 33, 2, 0,0.00,0,42740
43162, 4, 966, 0.00, 0.00, 0.37, 0.43, 10.23, 90.26, 37, 1, 33, 1, 32, 1, 32, 1, 0,0.00,0,210
43578, 4, 966, 0.00, 0.00, 0.37, 0.39, 10.25, 90.59, 34, 2, 34, 1, 35, 1, 34, 2, 0,0.00,0,626
43996, 4, 954, 0.00, 0.00, 0.37, 0.34, 10.22, 71.50, 32, 1, 33, 1, 33, 2, 34, 1, 0,0.00,0,1044
44414, 4, 742, 0.00, 0.00, 0.34, 0.41, 10.23, 103.97, 32, 1, 33, 1, 33, 1, 34, 1, 0,0.00,0,1462
44835, 4, 670, 0.00, 0.00, 0.41, 0.39, 10.26, 90.75, 33, 1, 32, 1, 33, 2, 33, 1, 0,0.00,0,1883
45255, 4, 675, 0.00, 0.00, 0.34, 0.37, 10.25, 101.95, 33, 1, 34, 2, 32, 1, 33, 2, 0,0.00,0,2303
45677, 4, 653, 0.00, 0.00, 0.40, 0.38, 10.30, 82.84, 33, 1, 34, 2, 33, 2, 32, 1, 0,0.00,0,2725
46097, 4, 650, 0.00, 0.00, 0.35, 0.35, 10.26, 63.97, 34, 2, 33, 1, 33, 1, 32, 1, 0,0.00,0,3145
46517, 4, 647, 0.00, 0.00, 0.38, 0.38, 10.23, 97.72, 32, 1, 32, 1, 32, 1, 33, 1, 0,0.00,0,3565
46937, 4, 657, 0.00, 0.00, 0.43, 0.35, 10.21, 77.24, 32, 1, 34, 1, 33, 2, 32, 1, 0,0.00,0,3984
47356, 4, 680, 0.00, 0.00, 0.41, 0.38, 10.29, 97.29, 32, 1, 32, 1, 33, 1, 34, 2, 0,0.00,0,4404
47776, 4, 683, 0.00, 0.00, 0.41, 0.37, 10.20, 95.63, 33, 2, 33, 2, 32, 1, 36, 4, 0,0.00,0,4824
48196, 4, 715, 0.00, 0.00, 0.41, 0.39, 10.23, 89.91, 50, 2, 32, 1, 32, 1, 32, 1, 0,0.00,0,5244
48617, 4, 706, 0.00, 0.00, 0.41, 0.34, 10.23, 96.49, 32, 1, 32, 1, 34, 2, 32, 1, 0,0.00,0,5665
49037, 4, 705, 0.00, 0.00, 0.41, 0.39, 10.25, 96.91, 32, 1, 32, 1, 32, 2, 33, 2, 0,0.00,0,6085
49455, 4, 740, 0.00, 0.00, 0.39, 0.37, 10.25, 76.53, 32, 1, 33, 1, 32, 1, 34, 1, 0,0.00,0,6503
49874, 4, 765, 0.00, 0.00, 0.38, 0.41, 10.23, 84.93, 35, 1, 32, 1, 33, 1, 45, 2, 0,0.00,0,6921
50292, 4, 690, 0.00, 0.00, 0.36, 0.37, 10.28, 72.56, 32, 1, 32, 1, 33, 1, 34, 1, 0,0.00,0,7340
50711, 4, 699, 0.00, 0.00, 0.43, 0.37, 10.29, 96.72, 33, 1, 34, 1, 39, 1, 34, 2, 0,0.00,0,7759
51130, 4, 722, 0.00, 0.00, 0.41, 0.42, 10.27, 96.90, 33, 1, 33, 1, 32, 1, 33, 2, 0,0.00,0,8178
